text/AK01042008CW241182005.txt:Mr.Abhinav Prasad, Advocate.
text/MS28032008FAOOS252007.txt:Mr.B.B. Sawhney, Sr. Advocate, appearing on behalf of the
text/MS28032008LPA3932000.txt:Through: Ms.Maninder Acharya, Advocate.
text/MS28032008LPA3932000.txt:Bhaduriya, Advocates
text/MS28032008LPA552008.txt:Leitanthem, Advocates
text/MS28032008LPA552008.txt:Choudhary, Advocates.
text/MS29022008FAOOS4062007.txt:Sr.Advocate with Mr.Ritam
text/MS29022008FAOOS4062007.txt:Aggarwal , Advocates.
text/MS29022008FAOOS4062007.txt:Advocate for R-1 & 4 and LRs
text/MS29022008FAOOS4062007.txt:Advocates for R-2&3
text/MS29022008LPA2452007.txt:Advocates
text/MS29022008LPA2452007.txt:Through:Mr.Inder Jit Singh, Advocate.
text/MS29022008LPA752002.txt:Mr.Ankur Chibber, Advocates
text/MS29022008LPA8352004.txt:Through Mr.Mohan Kumar, Advocate
text/MS29022008LPA8352004.txt:Through Mr.Ajay Verma, Advocate
text/MS29022008LPA9742006.txt:Through: Mr.J.N.Aggarwal, Advocate
text/MS29022008LPA9742006.txt:Through: Mr.Deepak Khadaria, Advocate
text/MS31012008LPA422008.txt:Advocates.
text/MS31012008LPA422008.txt:Advocates for respondent No.1/RBI.
text/MS31012008LPA422008.txt:Mr. Rajiv Kapur, Advocate for respondent
text/MS31012008LPA422008.txt:Bansal, Advocate for respondent No.3.
text/NKK01052004LPA1892009.txt:Mr. G. C.Sharma, Advocate.
text/NKK01052004LPA1892009.txt:Advocate No. 2.
text/NKK11052007LPA3972007.txt:Through: Mr. Rajesh Mahajan, Advocate.
text/NKK11052007LPA3972007.txt:Through: Mr. Anil Mittal, Advocate.
text/PKB02012008CRLMM66672006.txt:Through Mr. B.R. Handa, Senior Advocate with Ms. Hiteshi
text/PKB02012008CRLMM76732006.txt:Through Mr. Sanjeev Sahay, Advocate
text/PKB04042008CRLA2671999.txt:Advocate(amicus curiae)
text/PKB04042008CRLA2671999.txt:Rajender Kumar, Advocate was appointed as amicus curiae to
text/PKB05112007CMM4202003.txt:Through Ms. C.M.Chopra, Sr. Advocate with Mr. Sunil Mittal,
text/PKB05112007CMM4202003.txt:Advocate
text/PKB05112007CMM4202003.txt:Through Mr. Yogesh Pachauri, Advocate for respondent no.
text/PKB05112007CMM4202003.txt:Mr. A.S. Dateer, Advocate for LRs of respondent no. 3.
text/PKB05122007CRLMM52072006.txt:Through Ms. Jyotika Kalra, Advocate
text/PKB05122007CRLMM52072006.txt:Advocate
text/PKB05122007CRLMM66382006.txt:Through Mr. Vijay Aggarwal, Advocate
text/PKB05122007CRLMM66382006.txt:Mr. Gagan Minocha with Mr. Abhineet Gulati, Advocates
text/PKB06122007CRLMM30382006.txt:Through Ms. Sima Gulati, Advocate for
text/PKB06122007CRLMM30382006.txt:Mr. Atul Kumar, Advocate for
text/PKB06122007CRLMM30382006.txt:Through Mr. Atul Kumar, Advocate for petitioner no. 1.
text/PKB06122007CRLMM30382006.txt:Ms. Sima Gulati, Advocate for
text/PKB06122007CRLMM54732006.txt:Through Mr. Suman Kapoor, Advocate along with petitioners
text/PKB06122007CRLMM54892006.txt:Through Mr. Suman Kapoor, Advocate,
text/PKB07012008CRLMM30002006.txt:Through Mr. Rajat Aneja, Advocate
text/PKB07012008CRLMM30002006.txt:Through Mr. Arvind Jain, Advocate
text/PKB07012008CRLMM70322006.txt:Through Mr. R.K. Saini, Advocate
text/PKB07012008CRLMM70322006.txt:Complainant in person with Mr. Puneet Verma, Advocate
text/PKB07112007CRLMM35922006.txt:Through Mr. Maninder Singh with Mr. Ajay Kumar, Advocates
text/PKB07112007CRLMM35922006.txt:Mr. Prashant Mendiratta, Advocate for R-2.
text/PKB07112007CRLMM68532006.txt:Advocates
text/PKB07112007CRLMM68532006.txt:Through Ms. Priya Puri, Advocate
text/PKB07122007CRLMM14872006.txt:Through Mr. C.L. Dhawan, Advocate
text/PKB07122007CRLMM14872006.txt:Mr. Amit Gupta, Advocate for respondent no. 2.
text/PKB07122007CRLMM69172006.txt:Through Mr. V.K. Bharti, Advocate
text/PKB12032008CRLA1531999.txt:Advocate.
text/PKB12052008CRLA2311999.txt:Through: Mr. K.B. Andley, Senior Advocate
text/PKB12052008CRLA2311999.txt:with Mr. M.L. Yadav, Advocate.
text/PKB12052008CRLA2311999.txt:Through : Mr. R. M. Tewari, Advocate
text/PKB12112007CRLA351984.txt:Through: Mr. M.N.Dudeja, Advocate
text/PKB12112007CRLA351984.txt:Through: Mr. K.B.Andley, Sr. Advocate with Mr.
text/PKB12112007CRLA351984.txt:M.L.Yadav,Advocate
text/PKB12112007CRLA351984.txt:Advocate for the respondent-accused.
text/PKB12112007CRLMM72792006.txt:Through Mr.Tanvir Ahmed Mir, Advocate
text/PKB12112007CRLMM72792006.txt:Through Mr.Tanvir Ahmed Mir, Advocate
text/PKB12112007CRLMM72792006.txt:Through Mr.Tanvir Ahmed Mir, Advocate
text/PKB12112007CRLMM72792006.txt:Through Mr.Tanvir Ahmed Mir, Advocate
text/PKB13112007CRLA1441996.txt:Through : Mr. M.C.Sanghi, Advocate
text/PKB13112007CRLA1441996.txt:Mr. P.R.Thakur, Advocate for
text/PKB13112007CRLA1441996.txt:Mr. M.C. Sanghi, Advocate for respondent nos. 1 and 3 and Mr. P.R. Thakur for
text/PKB14012008CRLMM33252006.txt:Through Mr. K.T.S. Tulsi, Sr. Advocate with Mr. R.K. Handoo,
text/PKB14012008CRLMM33252006.txt:Advocate
text/PKB14012008CRLMM33252006.txt:Through Mr. Satish Aggarwal, Advocate for respondent no. 1.
text/PKB14022008CRLA2391998.txt:Through Mr. Bhupesh Narula, Advocate
text/PKB14022008CRLA2391998.txt:Advocate
text/PKB15112007CRLA2641996.txt:Through : Mr. M.C.Sanghi, Advocate
text/PKB15112007CRLA2641996.txt:Mr. M.C. Sanghi, Advocate
text/PKB17032008CRLA1411999.txt:Through: Mr. K.B. Andley, Senior Advocate
text/PKB17032008CRLA1411999.txt:with Mr. M.L. Yadav, Advocate.
text/PKB18012008CRLMM25652006.txt:Through Mr. R.P. Kapoor, Advocate
text/PKB18012008CRLMM25652006.txt:Through Mr. Harish Gulati, Advocate for CBI.
text/PKB18012008CRLMM25652006.txt:advocate’s mistake. But, however wide the said expressions are
text/PKB19052008CRLA2431999.txt:Sharma, Advocates
text/PKB19052008CRLA2431999.txt:Mr. Deepak Bhardwaj, Advocate
text/PKB19112007CRLMM62352005.txt:Deepti, Advocates
text/PKB19112007CRLMM62352005.txt:Deepti, Advocates
text/PKB19112007CRLMM62352005.txt:a practicing advocate and as a counsel for other two respondents, (although as per
text/PKB20112007CRLMM29062007.txt:Through Mr. Sanjay Bahl, Advocates
text/PKB20112007CRLMM29062007.txt:Advocate for
text/PKB21112007CRLMM972006.txt:Through Mr. Deepak Tyagi, Advocate
text/PKB22022008CRLA2211997.txt:Through: Mr. Bahar U Barqi, Advocate
text/PKB22112007CRLMM42052006.txt:Through Ms. Kamlesh Sabharwal, Advocate
text/PKB22112007CRLMM42052006.txt:Mr. Jatan Singh, Advocate for R-2
text/PKB22112007CRLMM42052006.txt:Through Ms. Kamlesh Sabharwal, Advocate
text/PKB22112007CRLMM42052006.txt:Mr. Jatan Singh, Advocate for R-2
text/PKB22112007CRLMM42052006.txt:Through Ms. Kamlesh Sabharwal, Advocate
text/PKB22112007CRLMM42052006.txt:Mr. Jatan Singh, Advocate for R-2
text/PKB22112007CRLMM42052006.txt:Through Ms. Kamlesh Sabharwal, Advocate
text/PKB22112007CRLMM42052006.txt:Mr. Jatan Singh, Advocate for R-2
text/PKB22112007CRLMM42052006.txt:complainant. On 27.09.2007 Mr. Jatan Singh, advocate, appeared for respondent
text/PKB24032008CRLA91999.txt:Advocates
text/PKB25032008CRLA2851999.txt:Through:Mr.Raman Sawheny, Advocate
text/PKB26052008S24231999.txt:Through: Mr. Rakesh Aggarwal, Advocate
text/PKB26052008S24231999.txt:Gupta and Mr. Sameer Vashisht Advocates.
text/PKB26052008S24231999.txt:September, 1999 through an advocate. According to the plaintiff
text/PKB26112007CRLMM1152006.txt:Through Mr. Rahul Gupta with Mr. Dhiraj Kumar, Advocate
text/PKB26112007CRLMM1152006.txt:Mr. Vijay Kumar Sondhi with Mr. Kapil Arora, Advocates for
text/PKB26112007CRLMM25092006.txt:Through Mr. Jayant Sood, Advocate
text/PKB26112007CRLMM25092006.txt:Mr. Rishi Sethi, Advocate for Respondent no.2.
text/PKB26112007CRLMM25092006.txt:Through Ms. Jayant Sood, Advocate
text/PKB26112007CRLMM25092006.txt:Mr. Rishi Sethi, Advocate for Respondent no.2.
text/PKB26112007CRLMM2722006.txt:Through Mr. Jitendra Jain, Advocate,
text/PKB26112007CRLMM2722006.txt:Mr. Mohit Mathur, Advocate for the complainant
text/PKB26112007CRLMM50242006.txt:Through Mr. Braham Singh, Advocate
text/PKB26112007CRLMM50242006.txt:Mr. Ajay Kumar Gupta, Advocate for respondent no. 4complainant.
text/PKB26112007CRLMM72562006.txt:Through Mr. Francis Paul, Advocate along with petitioners in
text/PKB26112007CRLMM83252006.txt:Through Mr. Sanjay Abbot, Advocate
text/PKB26112007CRLMM83252006.txt:Mr. S.C. Jain, Advocate for respondent no. 2.
text/PKB27112007CRLMM50232006.txt:Through Mr. Braham Singh, Advocate
text/PKB27112007CRLMM50232006.txt:Mr. Ajay Kumar Gupta, Advocate for the complainant.
text/PKB28032008CRLA1581999.txt:Through: Mr. B. D. Batra, Advocate
text/PKB28042008CRLA2361999.txt:Advocates.
text/PKB28042008CRLA2361999.txt:Advocate
text/PKB28042008S14752007.txt:Paramjeet Benipal, Advocates
text/PKB28112006CRLMM81242006.txt:Through Mr. Shanti Bhushan & Mr. Siddharth Luthra, Sr. Advocates with Mr. Uday Gupta,
text/PKB28112006CRLMM81242006.txt:Advocate
text/PKB29112007CRLMM64262006.txt:Through Mr. Vikas Pahwa, Advocate
text/PKB29112007CRLMM64262006.txt:Through Mr. O.P. Saxena, Advocate for the State.
text/PKB29112007CRLMM64262006.txt:Mr. N.K. Sharma, Advocate for Respondent no. 2.
text/PNJ01042008FAO2891998.txt:Mr.Bhupesh Narula, Advocate
text/PNJ01042008FAO2891998.txt:Mr.Aly Mirza, Advocate
text/PNJ01042008FAO2891998.txt:one Shri Tiwari, Advocate, who was present at the time of
text/PNJ01042008FAO2891998.txt:mere non examination of the Advocate who was present at
text/PNJ01042008FAO2922006.txt:Mr.N.K.Kaul, Sr. Advocate with Mr.Sagar
text/PNJ01042008FAO2922006.txt:Mr.N.K.Kaul, Sr. Advocate with Mr.Sagar
text/PNJ01042008FAO2922006.txt:advocate of a proven specialized experience in
text/PNJ01052007FAO1892003.txt:through: Mr.Sanjeev Mehta, Advocate with
text/PNJ01052007FAO1892003.txt:Ms. Aruna Mehta, Advocate
text/PNJ01052007FAO1892003.txt:through: Mr. P.K.Seth, Advocate with
text/PNJ01052007FAO1892003.txt:Mr. Mohd. Raghib, Advocate
text/PNJ01052007MACA354-572005.txt:through: Mr. S.N.Parashar, Advocate
text/PNJ01052007MACA4002004.txt:through: Ms.Neelam Gupta, Advocate
text/PNJ01052007MACA4002004.txt:through: Mr.P.K.Seth, Advocate with Mr.Mohd.
text/PNJ01052008FAO3782006.txt:through: Mr.Pradeep Gaur, Advocate and
text/PNJ01052008FAO3782006.txt:Mr.Dev Dutt, Advocate.
text/PNJ01052008FAO3782006.txt:through: Mr.Sunil Sehrawat, Advocate and
text/PNJ01052008FAO3782006.txt:Mr.Gaurav Malhotra, Advocate
text/PNJ01052008FAO3782006.txt:Mr.Basant Kumar, Advocate
text/PNJ01102007CRLMM27091995.txt:Mr.Ashwani Matta, Sr. Advocate with
text/PNJ01102007CRLMM33092005.txt:Mr.Rajat Aneja, Advocate for petitioner
text/PNJ01112007CRLMM30122005.txt:The order reads as under :“Present: Shri Rajesh Tyagi, advocate for the
text/PNJ02012008RSA742007.txt:through: Mr.R.Nanavati, Advocate
text/PNJ02012008RSA742007.txt:Mr.R.K.Anand, Senior Advocate
text/PNJ02012008RSA742007.txt:with Mr.S.B.Sharma, Advocate.
text/PNJ02052007CMM8792006.txt:through: Mr. Virender Goswami, Advocate with
text/PNJ02052007CMM8792006.txt:Mr. Sandip Mahapatra, Advocate
text/PNJ02052007CMM8792006.txt:through: Mr. Harish Malhotra, Sr. Advocate with
text/PNJ02052007CMM8792006.txt:Mr. Tanuj Khurana, Advocate for R1
text/PNJ02052007CMM8792006.txt:Mr. Rajat Singh Jain, Advocate for R2
text/PNJ02082007FAO471990.txt:through: Mr. Naveen Anand, Advocate
text/PNJ02082007FAO471990.txt:through: Mr.R.K.Tripathi, Advocate for
text/PNJ02112007BA22672007.txt:Mr.D.C.Mathur, Sr. Advocate with
text/PNJ02112007BA22672007.txt:Mr.Ajay Digpaul, Advocate.
text/PNJ02112007BA22672007.txt:Mr.R.N.Mittal, Sr.Advocate with
text/PNJ02112007CRLMM48022003.txt:Mr. Sidharth Luthra, Sr.Advocate
text/PNJ02112007CRLMM48022003.txt:Katju, Advocates.
text/PNJ03032008FAO1692004.txt:through: Mr.A.K.Sen, Advocate and
text/PNJ03032008FAO1692004.txt:Mr.S.Khan, Advocate.
text/PNJ03032008FAO1692004.txt:through: Mr.A.K.Sen, Advocate and
text/PNJ03032008FAO1692004.txt:Mr.S.Khan, Advocate.
text/PNJ03032008FAO4642007.txt:Mr.V.P.Singh, Sr. Advocate with
text/PNJ03032008FAO4642007.txt:Advocates
text/PNJ03032008FAO4642007.txt:through: Mr.Valmiki Mehta, Sr.Advocate with
text/PNJ03032008FAO5772002.txt:Mr. R.M.Aggarwal, Advocate
text/PNJ03032008FAO5772002.txt:Devender Kumar Sharma, Advocate and one Sh. Naresh Kumar
text/PNJ03032008FAO5772002.txt:Verma, Advocate.
text/PNJ03032008FAO5772002.txt:Advocate
text/PNJ03032008FAO5772002.txt:Naresh Kumar Verma, Advocate PW-2.......... To establish
text/PNJ03032008FAO5772002.txt:Ravi Kumar Aggarwal, Advocate PW-5....... To establish
text/PNJ03032008FAO5772002.txt:Devender Kumar Sharma, Advocate in his testimony as
text/PNJ03032008FAO5772002.txt:Naresh Kumar Verma, Advocate PW-2 deposed that he
text/PNJ03032008FAO5772002.txt:N.C.Bajaj, Advocate and he were present. That the testator was in a
text/PNJ03032008FAO5772002.txt:Ravi Kumar Aggarwal, Advocate in his testimony as PW-
text/PNJ03032008FAO5772002.txt:G.V.Dass, Advocate OW-4.................. To establish the
text/PNJ03032008FAO5772002.txt:G.V. Dass Advocate in his testimony as OW-4 deposed
text/PNJ03032008FAO5772002.txt:physical condition to go to the chambers of D.K.Sharma, Advocate
text/PNJ03032008FAO5772002.txt:Kumar Aggarwal, Advocate PW-5 in connection with prosecution of
text/PNJ03032008FAO5772002.txt:Advocate PW- 5 or to GV Dass Advocate OW-4 that the said cases
text/PNJ03032008FAO5772002.txt:PW-5 and OW-4 advocates engaged by the testator that Rohtas
text/PNJ03092007BA30932005.txt:Mr.K.B.Andley, Senior Advocate
text/PNJ03092007BA30932005.txt:with Mr.Murari Tiwari, Advocate
text/PNJ03092007CRLMM66212006.txt:Mr.R.M.Tufail, Advocate
text/PNJ03092007CRLMM7202003.txt:Ms. Shobha, Advocate and
text/PNJ03092007CRLMM7202003.txt:Mr. Harish Sharma, Advocate
text/PNJ03092007CRLMM7202003.txt:Mr. Anil Soni, Advocate for State.
text/PNJ03092007CRLMM7202003.txt:Mr. Hariharan, Advocate for R-2
text/PNJ03122007CMM3062007.txt:Mr. Dev Anand Bhardwaj, Advocate
text/PNJ03122007CMM3062007.txt:Mr. Shesh Datt Sharma, Advocate
text/PNJ03122007FAO1072006.txt:through: Mr. Mahfooz Nazki, Advocate
text/PNJ03122007FAO1072006.txt:through: Mr. Pradeep Gaur, Advocate and
text/PNJ03122007FAO1072006.txt:Mr. Amit Kumar Pandey, Advocate
text/PNJ03122007FAO32005.txt:Mr.V.K. Singh, Advocate
text/PNJ03122007FAO32005.txt:Mr.Dushyant Swaroop, Advocate for R-1
text/PNJ03122007RSA1092005.txt:Mr.Deepak Sharma, Advocate
text/PNJ03122007RSA1092005.txt:through: Mr.Vijay Kinger, Advocate for R-1 to
text/PNJ03122007RSA2012004.txt:through: Mr.Vinod Kumar, Advocate
text/PNJ03122007RSA2012004.txt:through: Mr.Dharamvir Singh, Advocate
text/PNJ04042008RSA392007.txt:Mr.R.K.Tewari, Advocate.
text/PNJ04102007CRLMM9142003.txt:through: Mr. M.K.Arora, Advocate
text/PNJ05032008FAO42007.txt:Ms.Pratima N. Chauhan, Advocate
text/PNJ05032008FAO482008.txt:Mr. Kuldeep Kumar, Advocate
text/PNJ05032008FAO482008.txt:Mr. S.K.Bahaduri, Advocate
text/PNJ05032008FAO482008.txt:Ms. Indrani Ghosh, Advocate
text/PNJ05032008FAO482008.txt:Mr. S.N.Singh, Advocate
text/PNJ05112007CRLMM17572005.txt:through: Mr.R.K.Handoo, Advocate
text/PNJ06082007BA5992007.txt:through : Mr.Bharat Sharma, Advocate
text/PNJ06082007BA5992007.txt:through : Mr.Rajiv K.Garg, Advocate.
text/PNJ06082007CR1342005.txt:Mr. D.C.Khanna, Advocate
text/PNJ06082007CR1342005.txt:through: Mr. P.K.Aggarwal, Advocate with
text/PNJ06082007CR1342005.txt:Mr. Noor Alam, Advocate
text/PNJ06082007MACA102004.txt:through: Ms. Mukta Joshi, Advocate
text/PNJ06092007CRLA2262005.txt:through: Mr. Randhir Jain, Advocate with
text/PNJ06092007CRLA2262005.txt:Ms. Ruchika Jain, Advocate
text/PNJ06092007CRLA2262005.txt:Mr. Anil Soni, Advocate for State
text/PNJ06092007CRLA2262005.txt:Mr. Vikas Pahwa, Advocate with
text/PNJ06092007CRLA2262005.txt:Mr. Abhinit Das, Advocate
text/PNJ06092007CRLA2262005.txt:through: Mr. Anil Soni, Advocate for State
text/PNJ06092007CRLA2262005.txt:Mr. Randhir Jain, Advocate with
text/PNJ06092007CRLA2262005.txt:Ms. Ruchika Jain, Advocate,
text/PNJ06092007CRLA2262005.txt:Mr. Vikas Pahwa, Advocate and
text/PNJ06092007CRLA2262005.txt:Mr. Abhinit Das, Advocate
text/PNJ06092007CRLA2262005.txt:Mr. Anil Soni, Advocate for State
text/PNJ06092007CRLA2262005.txt:Mr. Anil Soni, Advocate for State
text/PNJ06092007CRLA2262005.txt:Sharma, Advocate for accused Ashok Kumar informed the
text/PNJ06092007CRLA2262005.txt:Vijender Sharma, Advocate.
text/PNJ06092007CRLA2262005.txt:Advocate
text/PNJ06112007CRLA381991.txt:Mr. Pawan Sharma, Advocate
text/PNJ06112007CRLA381991.txt:through : Ms. Neelam Grover, Advocate
text/PNJ06112007CRLMM18452005.txt:through: Mr. Kamal Mehta, Advocate
text/PNJ06112007CRLMM18452005.txt:through: Mr.Satish Aggarwala, Advocate
text/PNJ06122007RSA1352007.txt:through: Ms.Sangeeta Chandra, Advocate.
text/PNJ06122007RSA1352007.txt:through: Mr.Rajesh Aggarwal, Advocate.
text/PNJ06122007RSA1502006.txt:through: Mr. B.D.Batra, Advocate
text/PNJ06122007RSA1502006.txt:through: Mr. Jagat Rana, Advocate
text/PNJ06122007RSA2922007.txt:through: Mr. S.S.Tomar, Advocate
text/PNJ07012008FAO522004.txt:through: Mr. C.S.Parashar, Advocate
text/PNJ07012008FAO522004.txt:Mr. Mukesh Kumar, Advocate
text/PNJ07012008FAO522004.txt:through: Mr. M.K.Awtaney, Advocate for R-1.
text/PNJ07012008RSA852006.txt:through: Ms. Madhu Tewatia, Advocate with
text/PNJ07012008RSA852006.txt:Ms. Sidhi Arora, Advocate
text/PNJ07032008CMM4292007.txt:Mr. Gaurav Sarin, Advocate
text/PNJ07032008CMM4292007.txt:through: Mr. M.Dutta, Advocate
text/PNJ07032008CR012007.txt:through: Mr.S.K.Anand, Advocate
text/PNJ07032008CR012007.txt:through: Mr.R.K.Singla, Advocate
text/PNJ07032008CR012007.txt:identified by their advocates is taken on this
text/PNJ07032008FAO1992006.txt:Mr. A.P.Chaudhary, Advocate
text/PNJ07032008FAO1992006.txt:Mr. Apurb Lal for Mr. R.N.Singh, Advocate
text/PNJ07042008FAO2242007.txt:Mr.J.N.Aggarwal, Advocate.
text/PNJ07042008FAO2242007.txt:through: Mr.Arvind Nigam, Advocate and
text/PNJ07042008FAO2242007.txt:Mr.Samrat Nigam, Advocate.
text/PNJ07052007CR1002004.txt:through: Mr.L.D.Adlakha, Advocate
text/PNJ07052007CR1002004.txt:through: Ms.Sangeeta, Advocate for R-1
text/PNJ07052007CR1002004.txt:Mr. A.P.Aggarwal, Advocate for R-3 & R-4
text/PNJ07052007FAO1921988.txt:through: Ms. Manjeet Chawla, Advocate
text/PNJ07052007FAO1921988.txt:through: Mr.J.N.Aggarwal, Advocate with
text/PNJ07052007FAO1921988.txt:Mr.Banamali Shukla, Advocate
text/PNJ07052007FAO3292003.txt:through: Mr.O.P.Mannie, Advocate
text/PNJ07052007FAO3292003.txt:through: Mr.J.N.Aggarwal, Advocate with
text/PNJ07052007FAO3292003.txt:Mr.Banamali Shukla, Advocate
text/PNJ07082007BA10842007.txt:through: Mr. Prag Chawla, Advocate
text/PNJ07082007BA6232007.txt:through: Mr. Rajiv Khosla, Advocate
text/PNJ07082007BA6232007.txt:Mr. Anil Soni, Advocate
text/PNJ07082007CRLMM74742006.txt:Mr. G.D.Gandhi, Advocate
text/PNJ07082007CRLMM74742006.txt:Mr. G.D.Gandhi, Advocate
text/PNJ07082007CRLMM7972005.txt:Mr. Shahid Ali, Advocate
text/PNJ07082007CRLMM7972005.txt:Mr. J.K.Sharma, Advocate
text/PNJ07092007CRLMM7882005.txt:Mr. R.N.Mittal, Sr. Advocate with
text/PNJ07092007CRLMM7882005.txt:Mr. Dharmender Arya, Advocate
text/PNJ07092007CRLMM7882005.txt:Mr. Anil Soni, Advocate
text/PNJ07122007RSA1192001.txt:Mr. Kuljit Rawal, Advocate
text/PNJ07122007RSA1192001.txt:Mr. Ravi Sikri, Advocate
text/PNJ07122007RSA1192001.txt:Mr. Saket Sikri, Advocate
text/PNJ08022007FAO1841992.txt:through: Mr.O.P.Goyal, Advocate
text/PNJ08022007FAO1841992.txt:through: Mr.L.C.Goyal, Advocate with Ms.Madhu
text/PNJ08022007FAO1841992.txt:Singh, Advocate
text/PNJ08022008CCP4862007.txt:Mr.S.S.Khatri, Advocate.
text/PNJ08082007CRLMM66882005.txt:Advocates.
text/PNJ08102007BA19952007.txt:Mr.K.B.Sinha, Sr. Advocate with
text/PNJ08102007BA4942007.txt:through: Mr.K.B.Andley, Sr. Advocate with
text/PNJ09012008CMM3422007.txt:through: Mr.Ashwani K. Matta, Sr.Advocate
text/PNJ09012008CMM3422007.txt:with Mr.Kapil Arora, Advocate.
text/PNJ09012008CMM3422007.txt:Mr.M.Hussain, Advocate
text/PNJ09012008CMM8452006.txt:Mr.G.Umapathy, Advocate with
text/PNJ09012008CMM8452006.txt:Mr.A.Rajnarayan, Advocate
text/PNJ09012008CMM8452006.txt:Mr.Prem Mishra, Advocate for
text/PNJ09012008CR1422006.txt:Mr. R.Santhanam, Advocate with
text/PNJ09012008CR1422006.txt:Mr. Ravinder Singh, Advocate
text/PNJ09012008CR1422006.txt:through: Mr. Atul Bandhu, Advocate
text/PNJ09042008FAO4901999.txt:Mr. M.L.Bhargava, Advocate
text/PNJ09042008FAO4901999.txt:Mr. B.S.Rajesh Agrajit, Advocate
text/PNJ09082007BA15332007.txt:Mr. B.R.Sharma, Advocate
text/PNJ09082007BA15332007.txt:Mr. Anil Soni, Advocate
text/PNJ09082007CRLMM45442003.txt:through: Mr. Anuj, Advocate
text/PNJ09082007CRLMM45442003.txt:through: Mr. M.N.Dudeja, Advocate for State.
text/PNJ09102007CRLMM25582004.txt:through: Mr. Dinesh Mathur, Sr. Advocate
text/PNJ09102007CRLMM25582004.txt:and Mr. Shiv Sapra, Advocates.
text/PNJ09102007CRLMM25582004.txt:through: Mr. Pawan Sharma, Advocate
text/PNJ10012008FAO822007.txt:Mr. Harish K. Mehra, Advocate
text/PNJ10012008FAO822007.txt:Mr. S.M.Chopra, Advocate for
text/PNJ10012008FAO822007.txt:by an advocate. It is an admitted case that the
text/PNJ10032008FAO3452007.txt:Mr.L.K.Tyagi, Advocate
text/PNJ10082007CRLMM30032004.txt:through: Mr. N.K.Khetrapal, Advocate
text/PNJ10082007CRLMM30032004.txt:through: Mr. Manoj Kumar Srivastava, Advocate
text/PNJ10092007CRLMM4062005.txt:Mr. Ravi Kumar Aggarwal, Advocate
text/PNJ10092007CRLMM4062005.txt:Mr. Manoj Taneja, Advocate
text/PNJ10092007CRLMM4062005.txt:Ms. Rekha Aggarwal, Advocate
text/PNJ10092007CRLMM4062005.txt:Ms. Anju Aggarwal, Advocate for
text/PNJ10102007BA21082007.txt:Mr. Tanveer Ahmed Mir, Advocate
text/PNJ10102007BA21082007.txt:Mr. Ranjit Kapur, Advocate
text/PNJ10102007BA21082007.txt:Advocates for the complainant.
text/PNJ10122007CCP4422007.txt:Mr.Arvind Nayar, Advocate
text/PNJ10122007CCP4422007.txt:through: Ms.Jyoti Singh, Advocate
text/PNJ10122007FAO32005.txt:Mr.V.K. Singh, Advocate
text/PNJ10122007FAO32005.txt:Mr.Dushyant Swaroop, Advocate for R-1
text/PNJ11012008CMM8802006.txt:through: Mr.Rajat Aneja, Advocate
text/PNJ11042008FAO2731999.txt:through: Mr.Prashant Bushan, Advocate with
text/PNJ11042008FAO2731999.txt:Mr.Mayank Mishra, Advocate
text/PNJ11042008FAO2731999.txt:through: Mr.S.K.Taneja, Advocate with
text/PNJ11042008FAO2731999.txt:Mr.Puneet Taneja, Advocate
text/PNJ11052007FAO1492004.txt:Mr.L.K.Tyagi, Advocate
text/PNJ11052007MACA732005.txt:through: Ms. Shantha Devi Raman, Advocate
text/PNJ11052007MACA732005.txt:through: Mr. Kanishka Gupta, Advocate for R-2
text/PNJ11052007MACA732005.txt:Mr. O.P.Goyal, Advocate for R-3.
text/PNJ11052007MACA732005.txt:151 CPC under signatures of Mr. A, the Advocate. It was prayed
text/PNJ11072007CR2992005.txt:through: Mr.Shiv Shankar, Advocate
text/PNJ11072007CR2992005.txt:through: Mr.V.K.Kalra, Advocate for R-1 & 2
text/PNJ11072007MACA630-312005.txt:through: Mr.M.M.Singh, Advocate
text/PNJ11072007MACA630-312005.txt:through: Ms. Manisha Tyagi, Advocate
text/PNJ11072007MACA630-312005.txt:Ms. Nanita Sharma, Advocate
text/PNJ11102007BA902007.txt:Mr. K.K.Datta, Advocate
text/PNJ11102007BA902007.txt:Mr. Jaideep Malik, Advocate
text/PNJ12022008CR102-032006.txt:Mr. Subhash Oberoi,Advocate with
text/PNJ12022008CR102-032006.txt:Mr. J. Sarma, Advocate
text/PNJ12052008FAO42001.txt:through: Mr.K.P.Mavi, Advocate.
text/PNJ12092007BA11042007.txt:Mr. R.P.Luthra, Advocate with
text/PNJ12092007BA11042007.txt:Mr. Krishan Kumar, Advocate &
text/PNJ12092007BA11042007.txt:Mr. Deepak Vohra, Advocate
text/PNJ12092007BA11042007.txt:Mr. Anil Soni, Advocate
text/PNJ12092007BA7912007.txt:Mr. Sameer Vashisht, Advocate
text/PNJ12092007BA7912007.txt:Mr. Pawan Sharma, Advocate
text/PNJ12092007CRLMM12742001.txt:Mr.D.K.Sabat, Advocate
text/PNJ12092007CRLMM27972004.txt:Mr.Vijay Aggarwal, Advocate
text/PNJ12102007BA14082007.txt:Ms.Rebecca M.John, Advocate with
text/PNJ12102007BA14082007.txt:Mr.Vijay Arora, Advocates
text/PNJ12102007BA14082007.txt:Mr.K.C.Mittal, Advocate with
